name,barcode,Sales Price,Quantity On Hand,Activity Exception Decoration
Methi 250 GM,8901572001919,30.00,0.00,
Methi 500gm,8901572001926,60.00,6.00,
Misri 250GM,8901572001957,20.00,5.00,
Misri 500 GM,8901572001964,40.00,4.00,
Mulethi 100gm,8901572001988,40.00,4.00,
Muskmelon Seed ( Magaz ) 250gm,8901572001995,200.00,2.00,
Muskmelon Seed ( Magaz ) 50gm,8901572002008,50.00,4.00,
Muskmelon Seed (Magaz)100gm,8901572002015,100.00,2.00,
Nausadar Katli (50gm),8901572002022,20.00,4.00,
Paneer k phool 100gm,8901572002046,30.00,3.00,
Peeli Sarso 100gm,8901572002053,20.00,0.00,
Peeli Sarso 250gm,8901572002060,35.00,4.00,
Peeper Badi 25gm,8901572002077,40.00,4.00,
Peeper Choti 25gm,8901572002084,30.00,1.00,
Peeper Choti 50gm,8901572002091,60.00,2.00,
Pipramul (Satvam Ganthoda) 50gm,8901572002107,50.00,3.00,
Pista Green 250gm,8901572002114,570.00,4.00,
Pista Green100 g,8901572002121,230.00,2.00,
Premium double window Munakka,8901572002138,160.00,12.00,
Rai 250GM,8901572002169,30.00,3.00,
Rai ki Dal 200gm,8901572002176,30.00,7.00,
Ramdana 500gm,8901572002183,60.00,1.00,
Reetha 250gm,8901572002206,40.00,1.00,
Rumi Mastagi (Mastic Gum) 10gm,8901572002213,400.00,0.00,
Sabja Seeds (Basil Seeds) 200gm,8901572002220,100.00,0.00,
Sabja Seeds (Basil Seeds) 500gm,8901572002237,225.00,0.00,
Safed Mirch (White Pepper)100gm,8901572002244,150.00,3.00,
Safed Mirch (White Pepper)50gm,8901572002251,80.00,0.00,
Salam Panja (Dactylorhiza Hatagirea) 25gm,8901572002268,400.00,0.00,
Satawar 100gm,8901572002275,160.00,2.00,
Saya Jeera 50gm,8901572002282,50.00,2.00,
Selected Green Dry Dates (Chuwara) ,8901572002299,180.00,6.00,
Shankhpushpi 100gm,8901572002305,40.00,0.00,
Shikakai 250gm,8901572002497,40.00,1.00,
Shilajit 25gm,8901572002312,250.00,1.00,
Shilajit 50gm,8901572002329,500.00,5.00,
Sitarbai Badam (Kagzi)500gm,8901572002336,800.00,0.00,
Sooth khadi 100gm,8901572002343,50.00,2.00,
Souf 250gm,8901572002367,60.00,8.00,
Souf Premium 100gm,8901572002374,30.00,0.00,
Souf Premium 250gm,8901572002381,80.00,6.00,
Tal Makhana 100gm,8901572002398,80.00,3.00,
Tej Patta 50GM,8901572002404,20.00,2.00,
Tulsi Seeds 100gm,8901572002411,100.00,0.00,
Watermelon Seeds 100gm,8901572002428,80.00,3.00,
White Muesli 100gm,8901572002435,300.00,2.00,
White Muesli 50gm,8901572002442,150.00,7.00,
White Til 250gm,8901572002459,60.00,4.00,
White Til 500gm,8901572002466,110.00,6.00,
White Til chilka 1kg,8901572002473,160.00,1.00,
Zahidi Khajur ,8901572002480,100.00,0.00,
